,co_code,company_name,co_industry_type,co_industry_gp_code,co_industry_name,nic_prod_code,nic_name
0,11,20 MICRONS LTD.,1.0,101020300000000.0,Minerals,8.0,Other mining and quarrying
1,14,20TH CENTURY FINANCE CORPN. LTD. [MERGED],2.0,102031500000000.0,Other asset financing services,64920.0,Other credit granting
2,289,A B C INDIA LTD.,1.0,101040509000000.0,Transport logistics services,5224.0,Cargo handling
3,301,A B C O PLASTICS LTD.,1.0,101012045400000.0,"Plastic furniture, floorings & miscellaneous items",22209.0,Manufacture of other plastics products n.e.c.
4,363,STARLOG ENTERPRISES LTD.,1.0,101041510000000.0,Business services & consultancy,82990.0,Other business support service activities n.e.c.
5,365,A B G SHIPYARD LTD.,1.0,101014590000000.0,Other transport equipment & ancillaries,301.0,Building of ships and boats
6,400,A B L BIOTECHNOLOGIES LTD.,1.0,101041510000000.0,Business services & consultancy,77.0,Rental and leasing activities
7,414,A B M INTERNATIONAL LTD.,1.0,101040401000000.0,Wholesale trading,46909.0,Other non-specialised wholesale trade n.e.c.
8,415,A B M KNOWLEDGEWARE LTD.,1.0,101040801000000.0,Computer software,62013.0,Providing software support and maintenance to the clients
9,443,A B N GRANITES LTD.,1.0,101013025000000.0,Granite,8102.0,Quarrying of granite
10,612,A C E EDUTREND LTD.,1.0,101041517000000.0,Education,85.0,Education
11,621,A C E LABORATORIES LTD.,1.0,101012030000000.0,Drugs & pharmaceuticals,21002.0,Manufacture of allopathic pharmaceutical preparations
12,641,A C E STONECRAFT LTD.,2.0,102040000000000.0,Other fund based financial services,64191.0,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses"
13,666,A C I INFOCOM LTD.,1.0,101040401000000.0,Wholesale trading,46511.0,Wholesale of computers and computer peripheral equipment
14,771,CEINSYS TECH LTD.,1.0,101041510000000.0,Business services & consultancy,71100.0,Architectural and engineering activities and related technical consultancy
15,783,A D F FOODS LTD.,1.0,101011101701000.0,Processed foods,10799.0,"Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like Manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)"
16,830,A D S DIAGNOSTIC LTD.,1.0,101040401000000.0,Wholesale trading,46596.0,"Wholesale of scientific, medical and surgical machinery and equipment"
17,867,A E C (INDIA) LTD.,1.0,101060201000000.0,Industrial construction,42209.0,Construction of utility projects n.e.c.
18,871,A E C ENTERPRISES LTD.,1.0,101040401000000.0,Wholesale trading,46599.0,"Wholesale of other machinery, equipment and supplies n.e.c. including computer-controlled machine tools and computer-controlled sewing and knitting machines"
19,912,A F ENTERPRISES LTD.,1.0,101040401000000.0,Wholesale trading,46411.0,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports clothes"
20,934,APEEJAY TEA LTD. [MERGED],1.0,101011101050000.0,Tea,10791.0,Processing and blending of tea including Manufacture of instant tea
21,1034,A G S INFOTECH LTD.,1.0,101040801000000.0,Computer software,62013.0,Providing software support and maintenance to the clients
22,1120,A I A ENGINEERING LTD.,1.0,101013501150000.0,Castings & forgings,24319.0,Manufacture of other iron and steel casting and products thereof
23,1144,A INFRASTRUCTURE LTD.,1.0,101013090000000.0,Other construction materials,23953.0,Manufacture of asbestos sheets
24,1159,A J BROTHERS LTD.,1.0,101041590000000.0,Other miscellaneous services,46103.0,"Activities of commission agents dealing in wholesale trade in machinery & equipment, other than transport machinery"
25,1315,A K C SYNTHETICS LTD.,1.0,101011505000000.0,Cloth,13121.0,"Weaving, Manufacture of cotton and cotton mixture fabrics."
26,1317,A K CAPITAL SERVICES LTD.,2.0,102059000000000.0,Other fee based financial services,64191.0,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses"
27,1372,A K G ACOUSTICS (INDIA) LTD.,1.0,101040401000000.0,Wholesale trading,46909.0,Other non-specialised wholesale trade n.e.c.
28,1464,S M S TECHSOFT (INDIA) LTD.,1.0,101040801000000.0,Computer software,62013.0,Providing software support and maintenance to the clients
29,1570,A K S CREDITS LTD.,2.0,102040000000000.0,Other fund based financial services,64990.0,"Other financial service activities, except insurance and pension funding activities, n.e.c."
30,1621,A K SPINTEX LTD.,1.0,101011505000000.0,Cloth,13124.0,"Weaving, manufacturing of man-made fiber and man-made mixture fabrics."
31,1624,A K STRUCTURAL FOAM LTD. [MERGED],1.0,101043500000000.0,Diversified non-financial services,46909.0,Other non-specialised wholesale trade n.e.c.
32,1792,A M E I POWER LTD.,1.0,101014005050000.0,"Generators, transformers & switchgears",27102.0,"Manufacture of electric power distribution transformers, arc-welding transformers, fluorescent ballasts, transmission and distribution voltage regulators"
33,1827,A M I COMPUTERS (I) LTD.,1.0,101040801000000.0,Computer software,62013.0,Providing software support and maintenance to the clients
34,2015,A N G INDUSTRIES LTD.,1.0,101014502059000.0,Other automobile ancillaries,29301.0,"Manufacture of diverse parts and accessories for motor vehicles such as brakes, gearboxes, axles, road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalysers, clutches, steering wheels, steering columns and steering boxes etc."
35,2021,A N GLOBAL LTD.,1.0,101041510000000.0,Business services & consultancy,77.0,Rental and leasing activities
36,2080,A N S INDS. LTD.,1.0,101041510000000.0,Business services & consultancy,77.0,Rental and leasing activities
37,2248,A P M INDUSTRIES LTD.,1.0,101011510000000.0,Man-made filaments & fibres,13114.0,Preparation and spinning of man-made fiber including blended* man-made fiber
38,2384,SCHNEIDER ELECTRIC PRESIDENT SYSTEMS LTD.,1.0,101014010900000.0,Other electronics,26517.0,Manufacture of industrial process control equipment
39,2448,A R C FINANCE LTD.,2.0,102040000000000.0,Other fund based financial services,64990.0,"Other financial service activities, except insurance and pension funding activities, n.e.c."
40,2513,A R I CONSOLIDATED INVSTS. PVT. LTD.,2.0,102040000000000.0,Other fund based financial services,64300.0,"Trusts, funds and other financial vehicles"
41,2566,A R M POLYMERS LTD.,1.0,101012045100000.0,Plastic packaging goods,22203.0,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)"
42,2717,DISH T V INDIA LTD.,1.0,101041520050000.0,Media-broadcasting,61103.0,Activities of the cable operators
43,2773,ANIL SPECIAL STEEL INDS. LTD.,1.0,101013501100000.0,Steel,24105.0,Manufacture of hot-rolled and cold-rolled products of steel
44,2842,A S M TECHNOLOGIES LTD.,1.0,101040801000000.0,Computer software,62013.0,Providing software support and maintenance to the clients
45,2885,A S R AGRO LTD.,1.0,101011150000000.0,Other agricultural products,1136.0,Growing of mushrooms and truffles
46,2898,A S ROTOTECH LTD.,1.0,101015001050000.0,Paper & newsprint,17097.0,Manufacture of carbon paper & stationary items
